0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

16.0,14.0,10.0,14.0,8.0,16.0,6.0,6.0,16.0,16.0,10.0,8.0,10.0,10.0,8.0,10.0,4.0,12.0,10.0,10.0
16.0,6.0,6.0,18.0,10.0,6.0,12.0,12.0,10.0,8.0,8.0,14.0,8.0,12.0,6.0,12.0,6.0,12.0,8.0,6.0

Averages:
9.86,9.88,9.88,10.34,10.58,10.44,9.6,9.74,10.18,9.82,9.46,10.04,10.16,9.8,10.18,10.06,9.56,9.84,10.3,9.7
Standard deviations:
4.159374953042824,4.646030563825427,4.416514462786238,4.525969509397959,4.217060587660557,4.055416131545568,4.586937976471886,4.1148997557656255,4.561534829418715,4.23409966817032,4.470838847464758,4.156729483620507,4.305159695063587,4.132795663954364,3.868798263026906,4.073867940913157,4.3135136489873345,3.996798718974975,4.236744032862971,4.00374824383352



